WHISKY,PRESENTER,DATE,AGE,PRICE,SIZE,ABV,$/1.5 oz,ORIGIN,AMOUNT,STATUS,Andrew,Ash,Jeremy,Johnathan,Joss,Luke,Marian,Mike H.,Richard,Scott,Stefan,Steve,John,Miles,Murilo,Hussey,Max,Alex W,Derek,Susan,Len,Paul,Dan,Ashleigh,Don,Melissa,Phil,Dave,Seb,Nick,Chris,JP,Mike A.
Glenfarclas,Phil,26/03/2015,15,115.00,700,46,8,Highland,,OWNED,,,,,79,,,,,,,79,,,,,,,,,,,,,,,,,,,,,
Glenmorangie Lasanta,Marian,24/03/2014,12,74.00,1000,46,4,Highland,0,EMPTY,62,75,,,78,,80,78,,,,77,,,,,,,,,,,76,,,,,,70,,,,
Glenmorangie Nectar D'Or,Ash,29/01/2015,12,100.00,750,46,6,Highland,0.7,OWNED,,,,,,,79,,,,,78,,,,,,,,,,,,,,,,,,,,,
Glenmorangie Signet,Ash,27/06/2013,NAS,311.00,750,46,19,Highland,,OWNED,84,97,,,84,,82,82,,,,90,,91,,,,,,,,,,,,,,91,84,,,,
Glenmorangie Signet,CLUB (SS4),23/06/2016,NAS,260.00,750,46,16,Highland,,OWNED,78,93,,,89,88,,,,89,,88,88,,90,,,,,,,,,,,,,,,,,,
Hazelburn,CLUB (SS1),20/06/2013,12,129.00,700,46,9,Campbeltown,0.4,OWNED,70,84,,,80,,82,80,,,,80,,90,,,,,,,,,,,,,,,74,,,,
Jura Prophecy,Andrew,24/10/2013,NAS,95.00,750,46,6,Island,0.4,OWNED,83,78,,,82,,69,76,,,,77,,79,,,73,,,,,,,,,,,,81,,,,
Old Pulteney Noss Head,Murilo,24/09/2015,NAS,,1000,46,0,Highland,0.6,OWNED,72,70,,,72,72,,,,75,66,74,66,,75,,67,,,,,,,,,,,,,,,,
Springbank,Steve,26/09/2013,10,80.00,750,46,5,Campbeltown,0.3,OWNED,76,85,,,72,,77,75,,,,79,,78,,,,,,,,,,,,,,,76,,,,
Talisker,Miles,28/03/2013,10,80.00,750,46,5,Island,1,OWNED,,77,,,80,,73,75,,,,81,,84,,,,,,,,,77,,,,,,82,,,,
Talisker Dark Storm,Max,24/09/2015,NAS,90.00,1000,46,5,Island,0.4,OWNED,68,80,,,82,76,,,,91,68,75,88,,78,,82,,,,,,,,,,,,,,,78,
Tomatin Cubocan,Murilo,26/05/2016,NAS,96.00,750,46,6,Highland,0.2,OWNED,,78,79,,76,,74,,,75,,78,,,77,,,,,,,,,,,,,,75,,,,
Bunnahabhain,Stefan,27/10/2016,12,90.00,700,46.3,6,Islay,0.4,OWNED,52,84,80,,83,81,83,82,,85,80,80,,,,,,,82,,,,,,,,,,,,,,
Bunnahabhain Eirigh Na Greine,Mike,01/09/2016,NAS,100.00,1000,46.3,5,Islay,0.4,OWNED,75,89,82,,80,83,84,85,75,,,89,,,,,,,,82,85,,,,,,,,,,,,
Deanston Virgin Oak,Steve,27/08/2015,NAS,50.00,750,46.3,3,Highland,0.7,OWNED,,73,,,77,65,71,,,67,,75,,,,,,,,,,,,,,,,,,,,,
Highland Park Dark Origins,Andrew,26/11/2015,NAS,100.00,750,46.8,6,Highland,0,EMPTY,84,86,,,79,,84,82,,86,72,83,87,,89,,,,,,,,,78,,,,,,,,,
Highland Park,CLUB (SS2),19/06/2014,21,300.00,700,47.5,20,Island,,OWNED,88,90,,,85,,92,,,,,86,,,,,,,,,,,87,,,,84,,86,85,,,
Glenfiddich Snow Phoenix,CLUB (WS3),17/12/2015,NAS,250.00,750,47.6,15,Speyside,,OWNED,100,100,88,,83,90,87,91,,89,92,93,,95,92,,,,,,,,,,,91,,,,,,,
