"","WHISKY","PRESENTER","DATE","AGE","PRICE","SIZE","ABV","X..1.5.oz","ORIGIN","AMOUNT","STATUS","Individual","value","WHISKYNAME"
"625","Aberlour A'bunadh","Phil","24/07/2014","NAS",95,750,59,6,"Speyside",0,"EMPTY","Joss",84,"Aberlour A'bunadh NAS"
"626","Glenfarclas 105 Cask Strength","Stephan","26/11/2015","NAS",106,750,60,7,"Highland",0.3,"OWNED","Joss",76,"Glenfarclas 105 Cask Strength NAS"
"627","Laphroaig PX","Murilo","23/3/2017","NAS",100,1000,48,5,"Islay",0.8,"OWNED","Joss",76,"Laphroaig PX NAS"
"628","Knappogue Castle","Ash","23/3/2017","12",75,750,40,5,"Ireland",0.6,"OWNED","Joss",83,"Knappogue Castle 12"
"629","Royal Brackla","Steve","23/2/2017","12",100,750,40,6,"Highland",0.6,"OWNED","Joss",76,"Royal Brackla 12"
"630","Glenfiddich Rich Oak","Joss","23/2/2017","14",68,750,40,5,"Speyside",0.7,"OWNED","Joss",77,"Glenfiddich Rich Oak 14"
"631","Macallan Double Cask","Mike","27/4/2017","12",100,750,40,6,"Speyside",NA,"OWNED","Joss",85,"Macallan Double Cask 12"
"632","Ancnoc Vintage 2001","?","25/5/2017","15",120,700,46,8,"Speyside",0.5,"OWNED","Joss",79,"Ancnoc Vintage 2001 15"
"633","Kilchoman Machir Bay","?","25/5/2017","NAS",100,700,46,7,"Islay",0.5,"OWNED","Joss",85,"Kilchoman Machir Bay NAS"
"634","Benriach 1998 Single Cask","CLUB (SS5)","22/6/2017","15",288,750,47,18,"Speyside",NA,"OWNED","Joss",89,"Benriach 1998 Single Cask 15"
"635","Macallan Rare Cask","CLUB (SS5)","22/6/2017","NAS",400,750,43,24,"Speyside",NA,"OWNED","Joss",90,"Macallan Rare Cask NAS"
"636","Longrow","?","27/7/17","NAS",90,700,46,6,"Campbeltown",NA,"OWNED","Joss",90,"Longrow NAS"
"637","Laphroaig Cairdeas Madeira Cask","?","27/7/17","10",80,750,51,5,"Islay",NA,"OWNED","Joss",80,"Laphroaig Cairdeas Madeira Cask 10"
"638","Laphroaig Select","Richard","31/8/2017","NAS",78,750,40,5,"Islay",NA,"OWNED","Joss",76,"Laphroaig Select NAS"
"639","Scapa Skiren","Scott","28/9/2017","NAS",80,750,40,5,"Island",NA,"OWNED","Joss",79,"Scapa Skiren NAS"
"640","Oban Distillers Edition","Jeremy","28/9/2017","15",120,750,43,8,"Highland",NA,"OWNED","Joss",82,"Oban Distillers Edition 15"
"641","Signatory Vintage Rosebank","Joss","26/10/2017","10",220,750,43,14,"Lowland",NA,"RETIRED","Joss",77,"Signatory Vintage Rosebank 10"
"642","Highland Park Valkyrie","Joss","26/10/2017","NAS",100,750,45,6,"Island",NA,"OWNED","Joss",81,"Highland Park Valkyrie NAS"
"643","Glenfiddich Project XX","Ash","26/10/2017","NAS",100,740,47,7,"Speyside",NA,"OWNED","Joss",83,"Glenfiddich Project XX NAS"
"644","Balblair 2005","Steve","30/11/2017","NAS",73,700,46,5,"Highland",NA,"OWNED","Joss",76,"Balblair 2005 NAS"
"645","Chivas Regal","Ash","30/11/2017","12",105,1750,40,3,"Blend",NA,"OWNED","Joss",68,"Chivas Regal 12"
"647","Ancnoc","Jeremy","27/10/2016","23",80,700,40,6,"Speyside",0.3,"OWNED","Luke",60,"Ancnoc 23"
"657","Glen Mhor (1965)","CLUB (SS4)","23/06/2016","35",320,700,40,21,"Highland",NA,"OWNED","Luke",94,"Glen Mhor (1965) 35"
"663","Glenrothes Select Reserve","Marian","27/08/2015","NAS",60,750,40,4,"Speyside",0.5,"OWNED","Luke",72,"Glenrothes Select Reserve NAS"
"664","Highland Park Einar","Ash","24/11/2016","NAS",110,1000,40,5,"Island",0.7,"OWNED","Luke",62,"Highland Park Einar NAS"
"701","Yamazaki","Richard","24/11/2016","12",120,700,43,8,"Japan",0.3,"OWNED","Luke",88,"Yamazaki 12"
"702","Yamazaki","CLUB (WS4)","22/12/2016","18",500,750,43,30,"Japan",NA,"OWNED","Luke",90,"Yamazaki 18"
"714","Craigellaichie","Luke","28/07/2016","13",80,700,46,6,"Speyside",0.8,"OWNED","Luke",81,"Craigellaichie 13"
"721","Glenmorangie Signet","CLUB (SS4)","23/06/2016","NAS",260,750,46,16,"Highland",NA,"OWNED","Luke",88,"Glenmorangie Signet NAS"
"724","Old Pulteney Noss Head","Murilo","24/09/2015","NAS",NA,1000,46,0,"Highland",0.6,"OWNED","Luke",72,"Old Pulteney Noss Head NAS"
"727","Talisker Dark Storm","Max","24/09/2015","NAS",90,1000,46,5,"Island",0.4,"OWNED","Luke",76,"Talisker Dark Storm NAS"
"729","Bunnahabhain","Stefan","27/10/2016","12",90,700,46,6,"Islay",0.4,"OWNED","Luke",81,"Bunnahabhain 12"
"730","Bunnahabhain Eirigh Na Greine","Mike","01/09/2016","NAS",100,1000,46,5,"Islay",0.4,"OWNED","Luke",83,"Bunnahabhain Eirigh Na Greine NAS"
"731","Deanston Virgin Oak","Steve","27/08/2015","NAS",50,750,46,3,"Highland",0.7,"OWNED","Luke",65,"Deanston Virgin Oak NAS"
"734","Glenfiddich Snow Phoenix","CLUB (WS3)","17/12/2015","NAS",250,750,47,15,"Speyside",NA,"OWNED","Luke",90,"Glenfiddich Snow Phoenix NAS"
"735","Glenlivet Guardians Chapter","Marian","20/10/2014","NAS",90,750,48,6,"Speyside",0,"RETIRED","Luke",82,"Glenlivet Guardians Chapter NAS"
"739","Arran Malt Port Cask","Joss","28/07/2016","NAS",90,700,50,6,"Island",0.5,"OWNED","Luke",79,"Arran Malt Port Cask NAS"
"741","Balvenie 1509 Tun","CLUB (WS3)","17/12/2015","NAS",400,700,50,26,"Speyside",NA,"OWNED","Luke",83,"Balvenie 1509 Tun NAS"
"748","Arbeg Dark Cove (Committee Release)","CLUB (WS4)","22/12/2016","NAS",200,750,55,12,"Islay",NA,"OWNED","Luke",78,"Arbeg Dark Cove (Committee Release) NAS"
"752","Ardbeg Correyvreckan","Andrew","01/09/2016","NAS",150,700,57,10,"Islay",NA,"OWNED","Luke",75,"Ardbeg Correyvreckan NAS"
"758","Royal Brackla","Steve","23/2/2017","12",100,750,40,6,"Highland",0.6,"OWNED","Luke",77,"Royal Brackla 12"
"759","Glenfiddich Rich Oak","Joss","23/2/2017","14",68,750,40,5,"Speyside",0.7,"OWNED","Luke",79,"Glenfiddich Rich Oak 14"
"760","Macallan Double Cask","Mike","27/4/2017","12",100,750,40,6,"Speyside",NA,"OWNED","Luke",84,"Macallan Double Cask 12"
"763","Benriach 1998 Single Cask","CLUB (SS5)","22/6/2017","15",288,750,47,18,"Speyside",NA,"OWNED","Luke",77,"Benriach 1998 Single Cask 15"
"764","Macallan Rare Cask","CLUB (SS5)","22/6/2017","NAS",400,750,43,24,"Speyside",NA,"OWNED","Luke",89,"Macallan Rare Cask NAS"
"765","Longrow","?","27/7/17","NAS",90,700,46,6,"Campbeltown",NA,"OWNED","Luke",89,"Longrow NAS"
"766","Laphroaig Cairdeas Madeira Cask","?","27/7/17","10",80,750,51,5,"Islay",NA,"OWNED","Luke",78,"Laphroaig Cairdeas Madeira Cask 10"
"767","Laphroaig Select","Richard","31/8/2017","NAS",78,750,40,5,"Islay",NA,"OWNED","Luke",74,"Laphroaig Select NAS"
"768","Scapa Skiren","Scott","28/9/2017","NAS",80,750,40,5,"Island",NA,"OWNED","Luke",78,"Scapa Skiren NAS"
"769","Oban Distillers Edition","Jeremy","28/9/2017","15",120,750,43,8,"Highland",NA,"OWNED","Luke",85,"Oban Distillers Edition 15"
"770","Signatory Vintage Rosebank","Joss","26/10/2017","10",220,750,43,14,"Lowland",NA,"RETIRED","Luke",61,"Signatory Vintage Rosebank 10"
"771","Highland Park Valkyrie","Joss","26/10/2017","NAS",100,750,45,6,"Island",NA,"OWNED","Luke",84,"Highland Park Valkyrie NAS"
"772","Glenfiddich Project XX","Ash","26/10/2017","NAS",100,740,47,7,"Speyside",NA,"OWNED","Luke",82,"Glenfiddich Project XX NAS"
"775","Aberfeldy","Seb","24/04/2014","12",55,750,40,4,"Highland",0,"EMPTY","Marian",74,"Aberfeldy 12"
"776","Ancnoc","Jeremy","27/10/2016","23",80,700,40,6,"Speyside",0.3,"OWNED","Marian",77,"Ancnoc 23"
"777","Arran Malt Robbie Burns","Steve","23/02/2013","NAS",42,700,40,3,"Island",0,"RETIRED","Marian",71,"Arran Malt Robbie Burns NAS"
"778","Auchentoshan American Oak","Marian","26/05/2016","NAS",55,750,40,4,"Lowland",0.6,"OWNED","Marian",65,"Auchentoshan American Oak NAS"
"780","Balvenie Doublewood","Stefan","27/11/2014","12",90,750,40,6,"Speyside",0,"EMPTY","Marian",78,"Balvenie Doublewood 12"
"781","Balvenie Signature","Marian","27/09/2012","12",80,750,40,5,"Speyside",0,"RETIRED","Marian",80,"Balvenie Signature 12"
"782","Cardhu","Joss","25/04/2013","12",75,750,40,5,"Speyside",0,"RETIRED","Marian",70,"Cardhu 12"
"784","Dalmore King Alexander","CLUB (WS1)","19/12/2013","NAS",224,700,40,15,"Highland",NA,"OWNED","Marian",95,"Dalmore King Alexander NAS"
"785","Glen Deveron","Mike","30/04/2015","20",115,1000,40,6,"Highland",0.2,"OWNED","Marian",72,"Glen Deveron 20"
"788","Glenfiddich Select Cask (Blind)","CLUB (BT)","28/01/2016","NAS",70,1000,40,4,"Speyside",0.5,"OWNED","Marian",68,"Glenfiddich Select Cask (Blind) NAS"
"789","Glenlivet Master Dist. Reserve","Dan","30/04/2015","NAS",60,1000,40,3,"Speyside",0.7,"OWNED","Marian",71,"Glenlivet Master Dist. Reserve NAS"
"791","Glenmorangie 10 (Blind)","CLUB (BT)","28/01/2016","10",70,750,40,5,"Highland",0.3,"OWNED","Marian",70,"Glenmorangie 10 (Blind) 10"
"792","Glenrothes Select Reserve","Marian","27/08/2015","NAS",60,750,40,4,"Speyside",0.5,"OWNED","Marian",75,"Glenrothes Select Reserve NAS"
"794","Jura","Joss","27/02/2014","10",50,750,40,3,"Island",0.3,"OWNED","Marian",66,"Jura 10"
"795","Macallan Amber","Scott","29/01/2015","NAS",100,750,40,6,"Speyside",0.5,"OWNED","Marian",76,"Macallan Amber NAS"
"796","Macduff","CLUB (WS1)","19/12/2013","39",350,750,40,21,"Highland",NA,"OWNED","Marian",87,"Macduff 39"
"797","McClelland  Speyside (Blind)","CLUB (BT)","28/01/2016","NAS",45,750,40,3,"Speyside",0,"RETIRED","Marian",55,"McClelland  Speyside (Blind) NAS"
"798","McClelland Highland (Blind)","CLUB (BT)","28/01/2016","NAS",45,750,40,3,"Highland",0.7,"OWNED","Marian",60,"McClelland Highland (Blind) NAS"
"799","McClelland Islay (Blind)","CLUB (BT)","28/01/2016","NAS",45,750,40,3,"Islay",0,"RETIRED","Marian",73,"McClelland Islay (Blind) NAS"
"800","Old Pulteney","Mike","30/10/2014","12",78,700,40,6,"Highland",0.4,"OWNED","Marian",70,"Old Pulteney 12"
"801","Port Ellen Connoissuers Choice (1982)","CLUB (SS3)","24/06/2015","19",320,700,40,21,"Islay",0,"RETIRED","Marian",88,"Port Ellen Connoissuers Choice (1982) 19"
"802","Redbreast Irish Whisky","Mike","31/03/2016","12",75,750,40,5,"Ireland",0.5,"OWNED","Marian",75,"Redbreast Irish Whisky 12"
"803","Scapa Skiren","Marian","29/09/2016","NAS",80,750,40,5,"Island",0.7,"OWNED","Marian",83,"Scapa Skiren NAS"
"804","Tomintoul","Mike","20/12/2012","10",69,700,40,5,"Speyside",0,"RETIRED","Marian",73,"Tomintoul 10"
"805","Tormore","Mike","25/10/2012","12",67,1000,40,4,"Speyside",0,"EMPTY","Marian",78,"Tormore 12"
"807","Auchentoshan Triplewood","Ash","28/11/2013","NAS",75,750,43,5,"Lowland",0,"REPLACE","Marian",78,"Auchentoshan Triplewood NAS"
"809","Benromach","Dan","24/03/2014","10",75,750,43,5,"Speyside",0,"EMPTY","Marian",78,"Benromach 10"
"810","Bowmore Darkest","Dan","27/06/2013","15",92,750,43,6,"Islay",0,"REPLACE","Marian",81,"Bowmore Darkest 15"
"811","Caol Isla","Ash","25/07/2013","12",80,1000,43,4,"Islay",0.2,"OWNED","Marian",76,"Caol Isla 12"
"812","Caol Isla (Blind)","CLUB (BT)","28/01/2016","12",80,1000,43,4,"Islay",0.2,"OWNED","Marian",75,"Caol Isla (Blind) 12"
"813","Dalwhinnie","Mike","30/01/2014","15",89,750,43,6,"Highland",0.3,"OWNED","Marian",74,"Dalwhinnie 15"
"815","Glengoyne","Miles","27/11/2014","15",95,700,43,7,"Highland",0,"RETIRED","Marian",81,"Glengoyne 15"
"816","Glenkinchie","Miles","29/08/2013","12",85,750,43,6,"Lowland",0.3,"OWNED","Marian",78,"Glenkinchie 12"
"817","Glenlivet XXV","CLUB (WS2)","18/12/2014","25",350,700,43,23,"Speyside",0,"EMPTY","Marian",91,"Glenlivet XXV 25"
"818","Glenmorangie Rare","Marian","27/06/2013","18",114,750,43,7,"Highland",NA,"OWNED","Marian",83,"Glenmorangie Rare 18"
"819","Highland Park","Steve","30/05/2013","12",68,750,43,5,"Island",0.2,"OWNED","Marian",78,"Highland Park 12"
"820","Jura","Joss","27/02/2014","16",85,750,43,6,"Island",0.2,"OWNED","Marian",75,"Jura 16"
"821","Jura Superstition","Andrew","29/11/2012","13",64,750,43,4,"Island",0,"EMPTY","Marian",73,"Jura Superstition 13"
"822","Lagavaulin","Andrew","27/06/2013","16",115,750,43,7,"Islay",0,"EMPTY","Marian",77,"Lagavaulin 16"
"823","Macallan","Mike","29/08/2013","12",93,750,43,6,"Speyside",0.5,"OWNED","Marian",75,"Macallan 12"
"825","Nikka Taketsuru Pure Malt","Ash","31/03/2016","NAS",82,750,43,5,"Japan",0.2,"OWNED","Marian",78,"Nikka Taketsuru Pure Malt NAS"
"826","Oban","Seb","25/04/2013","14",110,750,43,7,"Highland",0,"REPLACE","Marian",80,"Oban 14"
"828","Strathisla","Seb","24/10/2013","12",57,750,43,4,"Speyside",0.2,"OWNED","Marian",76,"Strathisla 12"
"831","Yamazaki","CLUB (WS4)","22/12/2016","18",500,750,43,30,"Japan",NA,"OWNED","Marian",86,"Yamazaki 18"
"835","Talisker Port Ruighe","Joss","28/05/2015","NAS",110,700,45,8,"Island",0,"REPLACE","Marian",84,"Talisker Port Ruighe NAS"
"836","Ardbeg","Ash","30/05/2013","10",100,1000,46,5,"Islay",0.4,"OWNED","Marian",77,"Ardbeg 10"
"837","Ardmore","Joss","31/01/2013","NAS",45,700,46,3,"Speyside",0,"EMPTY","Marian",68,"Ardmore NAS"
"838","Arran Malt Machrie Moor","Steve","26/02/2015","NAS",89,700,46,6,"Island",0.4,"OWNED","Marian",72,"Arran Malt Machrie Moor NAS"
"841","Bruichladdich","Dan","31/01/2013","10",63,700,46,5,"Islay",0,"EMPTY","Marian",71,"Bruichladdich 10"
"842","Clynelish","Seb","29/11/2012","14",80,750,46,5,"Highland",0,"RETIRED","Marian",65,"Clynelish 14"
"844","Craigellaichie","Murilo","29/09/2016","19",150,1000,46,7,"Speyside",NA,"OWNED","Marian",78,"Craigellaichie 19"
"845","Glendronach","Miles","30/01/2014","14",90,700,46,6,"Highland",0.3,"OWNED","Marian",68,"Glendronach 14"
"847","Glenmorangie Lasanta","Marian","24/03/2014","12",74,1000,46,4,"Highland",0,"EMPTY","Marian",80,"Glenmorangie Lasanta 12"
"848","Glenmorangie Nectar D'Or","Ash","29/01/2015","12",100,750,46,6,"Highland",0.7,"OWNED","Marian",79,"Glenmorangie Nectar D'Or 12"
"849","Glenmorangie Signet","Ash","27/06/2013","NAS",311,750,46,19,"Highland",NA,"OWNED","Marian",82,"Glenmorangie Signet NAS"
"851","Hazelburn","CLUB (SS1)","20/06/2013","12",129,700,46,9,"Campbeltown",0.4,"OWNED","Marian",82,"Hazelburn 12"
"852","Jura Prophecy","Andrew","24/10/2013","NAS",95,750,46,6,"Island",0.4,"OWNED","Marian",69,"Jura Prophecy NAS"
"854","Springbank","Steve","26/09/2013","10",80,750,46,5,"Campbeltown",0.3,"OWNED","Marian",77,"Springbank 10"
"855","Talisker","Miles","28/03/2013","10",80,750,46,5,"Island",1,"OWNED","Marian",73,"Talisker 10"
"857","Tomatin Cubocan","Murilo","26/05/2016","NAS",96,750,46,6,"Highland",0.2,"OWNED","Marian",74,"Tomatin Cubocan NAS"
"858","Bunnahabhain","Stefan","27/10/2016","12",90,700,46,6,"Islay",0.4,"OWNED","Marian",83,"Bunnahabhain 12"
"859","Bunnahabhain Eirigh Na Greine","Mike","01/09/2016","NAS",100,1000,46,5,"Islay",0.4,"OWNED","Marian",84,"Bunnahabhain Eirigh Na Greine NAS"
"860","Deanston Virgin Oak","Steve","27/08/2015","NAS",50,750,46,3,"Highland",0.7,"OWNED","Marian",71,"Deanston Virgin Oak NAS"
"861","Highland Park Dark Origins","Andrew","26/11/2015","NAS",100,750,46,6,"Highland",0,"EMPTY","Marian",84,"Highland Park Dark Origins NAS"
"862","Highland Park","CLUB (SS2)","19/06/2014","21",300,700,47,20,"Island",NA,"OWNED","Marian",92,"Highland Park 21"
"863","Glenfiddich Snow Phoenix","CLUB (WS3)","17/12/2015","NAS",250,750,47,15,"Speyside",NA,"OWNED","Marian",87,"Glenfiddich Snow Phoenix NAS"
"864","Glenlivet Guardians Chapter","Marian","20/10/2014","NAS",90,750,48,6,"Speyside",0,"RETIRED","Marian",83,"Glenlivet Guardians Chapter NAS"
"865","Laphoraig Quarter Cask","Miles","20/12/2012","5.7",70,750,48,5,"Islay",0.9,"OWNED","Marian",70,"Laphoraig Quarter Cask 5.7"
"867","Arran Malt Amarones Cask","Ash","24/04/2014","12",81,700,50,6,"Island",0,"REPLACE","Marian",82,"Arran Malt Amarones Cask 12"
"869","Bunnahabhain  Cruach-Mhona","Jonathan","28/05/2015","NAS",120,1000,50,6,"Islay",0.3,"OWNED","Marian",77,"Bunnahabhain  Cruach-Mhona NAS"
"870","Balvenie 1509 Tun","CLUB (WS3)","17/12/2015","NAS",400,700,50,26,"Speyside",NA,"OWNED","Marian",83,"Balvenie 1509 Tun NAS"
"871","Linlithgow Signatory Vintage (1975)","CLUB (SS3)","24/06/2015","25",400,700,50,26,"Lowland",0,"RETIRED","Marian",90,"Linlithgow Signatory Vintage (1975) 25"
"872","Ardbeg Alligator","CLUB (SS1)","20/06/2013","NAS",170,700,51,11,"Islay",0,"RETIRED","Marian",85,"Ardbeg Alligator NAS"
"873","Glenfiddich Distillers Ed.","Marian","26/09/2013","15",75,750,51,5,"Speyside",0.9,"OWNED","Marian",90,"Glenfiddich Distillers Ed. 15"
"875","Ardbeg Uigeadail","CLUB (MTL)","18/12/2014","NAS",155,700,54,10,"Islay",NA,"OWNED","Marian",85,"Ardbeg Uigeadail NAS"
"876","Bowmore Laimrig","Joss","28/11/2013","15",96,750,54,6,"Islay",0,"EMPTY","Marian",78,"Bowmore Laimrig 15"
"877","Arbeg Dark Cove (Committee Release)","CLUB (WS4)","22/12/2016","NAS",200,750,55,12,"Islay",NA,"OWNED","Marian",70,"Arbeg Dark Cove (Committee Release) NAS"
"879","Jura Boutique Barrels (1995)","Andrew","26/02/2015","NAS",150,700,56,10,"Island",NA,"OWNED","Marian",80,"Jura Boutique Barrels (1995) NAS"
"880","Bruichladdich Octomore 6.1","CLUB (WS2)","18/12/2014","5",180,700,57,12,"Islay",NA,"OWNED","Marian",83,"Bruichladdich Octomore 6.1 5"
"881","Ardbeg Correyvreckan","Andrew","01/09/2016","NAS",150,700,57,10,"Islay",NA,"OWNED","Marian",65,"Ardbeg Correyvreckan NAS"
"882","Glenlivet Nadurra Triumph","Joss","25/10/2012","16",85,750,58,6,"Speyside",0,"RETIRED","Marian",74,"Glenlivet Nadurra Triumph 16"
"883","Aberlour A'bunadh","Phil","24/07/2014","NAS",95,750,59,6,"Speyside",0,"EMPTY","Marian",76,"Aberlour A'bunadh NAS"
"884","Glenfarclas 105 Cask Strength","Stephan","26/11/2015","NAS",106,750,60,7,"Highland",0.3,"OWNED","Marian",45,"Glenfarclas 105 Cask Strength NAS"
"885","Laphroaig PX","Murilo","23/3/2017","NAS",100,1000,48,5,"Islay",0.8,"OWNED","Marian",72,"Laphroaig PX NAS"
"886","Knappogue Castle","Ash","23/3/2017","12",75,750,40,5,"Ireland",0.6,"OWNED","Marian",81,"Knappogue Castle 12"
"892","Benriach 1998 Single Cask","CLUB (SS5)","22/6/2017","15",288,750,47,18,"Speyside",NA,"OWNED","Marian",81,"Benriach 1998 Single Cask 15"
"893","Macallan Rare Cask","CLUB (SS5)","22/6/2017","NAS",400,750,43,24,"Speyside",NA,"OWNED","Marian",74,"Macallan Rare Cask NAS"
"904","Aberfeldy","Seb","24/04/2014","12",55,750,40,4,"Highland",0,"EMPTY","Mike.H.",72,"Aberfeldy 12"
"905","Ancnoc","Jeremy","27/10/2016","23",80,700,40,6,"Speyside",0.3,"OWNED","Mike.H.",80,"Ancnoc 23"
"906","Arran Malt Robbie Burns","Steve","23/02/2013","NAS",42,700,40,3,"Island",0,"RETIRED","Mike.H.",75,"Arran Malt Robbie Burns NAS"
"909","Balvenie Doublewood","Stefan","27/11/2014","12",90,750,40,6,"Speyside",0,"EMPTY","Mike.H.",77,"Balvenie Doublewood 12"
"910","Balvenie Signature","Marian","27/09/2012","12",80,750,40,5,"Speyside",0,"RETIRED","Mike.H.",76,"Balvenie Signature 12"
"911","Cardhu","Joss","25/04/2013","12",75,750,40,5,"Speyside",0,"RETIRED","Mike.H.",70,"Cardhu 12"
"912","Cragganmore","Dave","27/09/2012","12",85,750,40,6,"Speyside",0,"EMPTY","Mike.H.",70,"Cragganmore 12"
"913","Dalmore King Alexander","CLUB (WS1)","19/12/2013","NAS",224,700,40,15,"Highland",NA,"OWNED","Mike.H.",88,"Dalmore King Alexander NAS"
"914","Glen Deveron","Mike","30/04/2015","20",115,1000,40,6,"Highland",0.2,"OWNED","Mike.H.",80,"Glen Deveron 20"
"917","Glenfiddich Select Cask (Blind)","CLUB (BT)","28/01/2016","NAS",70,1000,40,4,"Speyside",0.5,"OWNED","Mike.H.",78,"Glenfiddich Select Cask (Blind) NAS"
"918","Glenlivet Master Dist. Reserve","Dan","30/04/2015","NAS",60,1000,40,3,"Speyside",0.7,"OWNED","Mike.H.",75,"Glenlivet Master Dist. Reserve NAS"
"920","Glenmorangie 10 (Blind)","CLUB (BT)","28/01/2016","10",70,750,40,5,"Highland",0.3,"OWNED","Mike.H.",73,"Glenmorangie 10 (Blind) 10"
"922","Highland Park Einar","Ash","24/11/2016","NAS",110,1000,40,5,"Island",0.7,"OWNED","Mike.H.",73,"Highland Park Einar NAS"
"923","Jura","Joss","27/02/2014","10",50,750,40,3,"Island",0.3,"OWNED","Mike.H.",70,"Jura 10"
"925","Macduff","CLUB (WS1)","19/12/2013","39",350,750,40,21,"Highland",NA,"OWNED","Mike.H.",90,"Macduff 39"
"926","McClelland  Speyside (Blind)","CLUB (BT)","28/01/2016","NAS",45,750,40,3,"Speyside",0,"RETIRED","Mike.H.",53,"McClelland  Speyside (Blind) NAS"
"927","McClelland Highland (Blind)","CLUB (BT)","28/01/2016","NAS",45,750,40,3,"Highland",0.7,"OWNED","Mike.H.",69,"McClelland Highland (Blind) NAS"
"928","McClelland Islay (Blind)","CLUB (BT)","28/01/2016","NAS",45,750,40,3,"Islay",0,"RETIRED","Mike.H.",72,"McClelland Islay (Blind) NAS"
"929","Old Pulteney","Mike","30/10/2014","12",78,700,40,6,"Highland",0.4,"OWNED","Mike.H.",75,"Old Pulteney 12"
"930","Port Ellen Connoissuers Choice (1982)","CLUB (SS3)","24/06/2015","19",320,700,40,21,"Islay",0,"RETIRED","Mike.H.",87,"Port Ellen Connoissuers Choice (1982) 19"
"931","Redbreast Irish Whisky","Mike","31/03/2016","12",75,750,40,5,"Ireland",0.5,"OWNED","Mike.H.",75,"Redbreast Irish Whisky 12"
"932","Scapa Skiren","Marian","29/09/2016","NAS",80,750,40,5,"Island",0.7,"OWNED","Mike.H.",86,"Scapa Skiren NAS"
"933","Tomintoul","Mike","20/12/2012","10",69,700,40,5,"Speyside",0,"RETIRED","Mike.H.",70,"Tomintoul 10"
"934","Tormore","Mike","25/10/2012","12",67,1000,40,4,"Speyside",0,"EMPTY","Mike.H.",81,"Tormore 12"
"935","Jura Brooklyn","Steve","28/04/2016","NAS",80,750,42,5,"Island",0.3,"OWNED","Mike.H.",73,"Jura Brooklyn NAS"
"936","Auchentoshan Triplewood","Ash","28/11/2013","NAS",75,750,43,5,"Lowland",0,"REPLACE","Mike.H.",79,"Auchentoshan Triplewood NAS"
"937","Balvenie Caribbean Cask","Andrew","31/07/2014","14",110,750,43,7,"Speyside",0,"EMPTY","Mike.H.",79,"Balvenie Caribbean Cask 14"
"938","Benromach","Dan","24/03/2014","10",75,750,43,5,"Speyside",0,"EMPTY","Mike.H.",80,"Benromach 10"
"939","Bowmore Darkest","Dan","27/06/2013","15",92,750,43,6,"Islay",0,"REPLACE","Mike.H.",83,"Bowmore Darkest 15"
"940","Caol Isla","Ash","25/07/2013","12",80,1000,43,4,"Islay",0.2,"OWNED","Mike.H.",78,"Caol Isla 12"
"941","Caol Isla (Blind)","CLUB (BT)","28/01/2016","12",80,1000,43,4,"Islay",0.2,"OWNED","Mike.H.",75,"Caol Isla (Blind) 12"
"942","Dalwhinnie","Mike","30/01/2014","15",89,750,43,6,"Highland",0.3,"OWNED","Mike.H.",84,"Dalwhinnie 15"
"943","Glenfiddich Bourbon Barrel Reserve","Jeremy","25/02/2016","14",70,750,43,5,"Speyside",0,"EMPTY","Mike.H.",75,"Glenfiddich Bourbon Barrel Reserve 14"
"944","Glengoyne","Miles","27/11/2014","15",95,700,43,7,"Highland",0,"RETIRED","Mike.H.",80,"Glengoyne 15"
"945","Glenkinchie","Miles","29/08/2013","12",85,750,43,6,"Lowland",0.3,"OWNED","Mike.H.",85,"Glenkinchie 12"
"947","Glenmorangie Rare","Marian","27/06/2013","18",114,750,43,7,"Highland",NA,"OWNED","Mike.H.",82,"Glenmorangie Rare 18"
"948","Highland Park","Steve","30/05/2013","12",68,750,43,5,"Island",0.2,"OWNED","Mike.H.",78,"Highland Park 12"
"949","Jura","Joss","27/02/2014","16",85,750,43,6,"Island",0.2,"OWNED","Mike.H.",82,"Jura 16"
"950","Jura Superstition","Andrew","29/11/2012","13",64,750,43,4,"Island",0,"EMPTY","Mike.H.",72,"Jura Superstition 13"
"951","Lagavaulin","Andrew","27/06/2013","16",115,750,43,7,"Islay",0,"EMPTY","Mike.H.",75,"Lagavaulin 16"
"952","Macallan","Mike","29/08/2013","12",93,750,43,6,"Speyside",0.5,"OWNED","Mike.H.",75,"Macallan 12"
"954","Nikka Taketsuru Pure Malt","Ash","31/03/2016","NAS",82,750,43,5,"Japan",0.2,"OWNED","Mike.H.",77,"Nikka Taketsuru Pure Malt NAS"
"955","Oban","Seb","25/04/2013","14",110,750,43,7,"Highland",0,"REPLACE","Mike.H.",76,"Oban 14"
"956","Oban Little Bay","CLUB (MTL)","25/02/2016","NAS",100,750,43,6,"Highland",0.3,"OWNED","Mike.H.",84,"Oban Little Bay NAS"
"957","Strathisla","Seb","24/10/2013","12",57,750,43,4,"Speyside",0.2,"OWNED","Mike.H.",81,"Strathisla 12"
"958","Tullibardine 500","Nick","25/09/2014","NAS",80,750,43,5,"Highland",0.5,"OWNED","Mike.H.",79,"Tullibardine 500 NAS"
"959","Yamazaki","Richard","24/11/2016","12",120,700,43,8,"Japan",0.3,"OWNED","Mike.H.",85,"Yamazaki 12"
"960","Yamazaki","CLUB (WS4)","22/12/2016","18",500,750,43,30,"Japan",NA,"OWNED","Mike.H.",88,"Yamazaki 18"
